pattern,night_speed,clarity,accessibility,privacy_fit,medical_safety,mobile_fit,originality_headroom,total_35,decision
"First question in first viewport",5,5,5,5,5,5,5,35,"Adopt"
"One primary action per screen",5,5,5,5,5,5,5,35,"Adopt"
"Output visually central",5,5,4,5,5,5,5,34,"Adopt as experiment card"
"Explicit local-only trust line",5,5,5,5,5,5,5,35,"Adopt when technically true"
"Built-in uncertainty path",5,5,5,5,5,5,5,35,"Adopt"
"Progressive disclosure after result",5,5,4,5,5,4,5,33,"Adopt; keep safety visible"
"Visible answer-to-clue feedback",4,5,5,5,4,5,5,33,"Adopt"
"Undo/back with preserved state",5,5,5,5,5,5,5,35,"Adopt"
"Contextual empty-state coaching",4,5,5,5,5,5,5,34,"Adopt sparingly"
"Before/after comparison slider",2,3,2,4,4,3,3,21,"Reject; wrong interaction metaphor"
"Persistent inspector/sidebar",1,2,2,4,3,1,3,16,"Reject"
"Infinite canvas",1,1,2,4,3,1,3,15,"Reject"
"Mascot-led memorability",2,3,3,4,3,4,1,20,"Reject"
"Dense directory navigation",1,2,3,4,4,1,3,18,"Reject"
"Marketing gate before tool",1,2,3,3,3,2,3,17,"Reject"
"Three-night finite timeline",4,5,5,5,5,5,5,34,"Adopt"
