site,primary_model,first_action,default_example,active_controls,result_signal,undo_reset,completion,account_before_value,one_change_translation
Shots,"canvas plus toolbar/inspector","Start Creating then add media","Editor backdrop/example visible","Many style/background/layout controls","Central live mockup","Undo redo and Start Over exposed","Export menu","No","Keep output central; do not copy control density"
IT-Tools,"search-and-select directory plus form","Choose tool or edit field","Converter defaults present","Only controls needed by selected utility","All converted values update together","Route/home navigation; no tested reset","Copy/download varies by tool","No","Use small task-specific units rather than a site-wide tool directory"
Cleanup.pictures,"upload-and-result direct manipulation","Upload or choose example","Three sample images","Brush size compare and Clean","Mask then visibly cleaned image; download appears","Undo and back observed","Download icon","No","Let the first answer feel as immediate as choosing a sample"
Ray,"live preview plus bottom inspector","Edit sample or choose style","Yes","Theme background dark mode line numbers padding language","Preview remains central","No reset inspected","Export PNG/menu","No","Make the experiment card the stable output canvas"
Squoosh,"upload-and-result with before/after split","Drop paste or choose sample","Four samples","Codec quality and optional advanced settings","Savings percentage and download","Back; side settings copy/save","Download each side","No","Reveal deeper explanation only after useful result"
Transform.tools,"directory plus dual-pane editor","Choose conversion or edit sample","Yes","Settings and Copy","Generated output in second pane","Delete input control; no full reset observed","Copy","No","Show answer-to-output causality but avoid permanent dual pane"
readme.so,"section builder plus editor/preview","Get Started then add/edit section","Starter title/description","Section search reorder editor Preview/Raw","Preview pane","Reset observed","Download Markdown","No","Build understanding from small clues; avoid three-pane mobile layout"
Excalidraw,"infinite canvas plus toolbar","Pick tool and draw or open file","Contextual empty-state teaching","Shape toolbar library menus collaboration","Objects appear directly on canvas","Undo/redo visible","Export in menu; not exercised","No","Use contextual teaching and reversible choices; no freeform canvas"
Unscreen/Canva,"marketing landing to upload/editor","Upload video","Hero example only","Current editor not inspected","Not inspected","Not inspected","Download described in public steps","Canva Pro stated; login behavior unverified","Use a clear single entry but avoid ecosystem funnel"
Carbon,"editable sample inside framed preview","Type or change controls","Yes","Theme language background settings copy/share/export","Live visual preview","No reset inspected","Export dropdown","No","Keep completion obvious and optional settings secondary"
TinyPNG,"batch upload-and-result","Choose/drop files","No clickable sample observed","Conversion toggle","Not verified","Not verified","Downloads expected but not claimed","No for upload","Use one unmistakable action and disclose data handling beside it"
