site,first_value,visual_center,progressive_disclosure,feedback,privacy_at_moment,commerce_pressure,fit_for_one_change,observed_basis
Shots,"Onboarding promise before editor","Mockup canvas","High; inspectors and menus","Live preview implied by exposed canvas","Terms links at gate; data handling not prominent","Moderate","Medium","390 and 1440 onboarding plus exposed editor structure"
IT-Tools,"Direct utility or searchable directory","Input/output form","Medium; one route per tool","Conversions visible together","Not prominent on tested page","Low donation CTA","Medium","Directory and temperature converter at 390 and 1440"
Cleanup.pictures,"Upload or built-in example immediately","Image canvas","High; brush controls after input","Paint mask then cleaned image and download","Footer policy link; not adjacent to upload","Moderate pricing below tool","High","390 initial through completed built-in example"
Ray,"Editable sample and output immediately","Rendered code image","High; compact inspector","Live preview","No explicit data-handling statement observed","Low","Medium","Default editor at 390 and 1440"
Squoosh,"Drop/paste or choose sample","Before/after image","High; codec detail after input","Live comparison and quantified savings","Local-processing statement below initial action","Low","High","390 initial/result and 1440 initial"
Transform.tools,"Choose conversion then edit sample","Dual-pane input/output","Low on desktop; directory always present","Generated output after brief processing","Not prominent","Low","Low","390 directory overflow and 1440 JSON-to-TypeScript"
readme.so,"Marketing then Get Started","Desktop editor plus preview","Medium; sections added incrementally","Preview updates from structured sections","Not prominent","Donation widget","Medium","390 landing/editor and 1440 editor"
Excalidraw,"Blank canvas with contextual coaching","Infinite canvas","High; tools and menus","Direct manipulation with undo controls","Browser-storage warning centered","Optional paid/collaboration links","Low","390 and 1440 empty canvas"
Unscreen/Canva,"Upload CTA after brand/feature hero","Marketing hero then Canva editor","Unknown after upload","Not inspected beyond landing","Privacy link adjacent to upload","High; Canva Pro and ecosystem content","Low","Direct redirect and Canva mobile landing"
Carbon,"Default editable sample","Code-image preview","Medium; settings menus","Live preview expected from editor state","Policy links only near footer","Low; optional sign-in","Medium","Default editor at 390 and 1440"
TinyPNG,"Large upload box immediately","Upload/result area with mascot backdrop","Medium; conversion toggle at input","Result not verified in this pass","48-hour retention disclosed deep in FAQ","High below tool; login/sign-up visible","Medium","390 initial plus current public HTML"
