site,title_h1_clarity,tool_before_long_copy,useful_static_content,dedicated_routes,stable_human_links,seo_shell_risk,lesson
Shots,"Clear marketing H1","Onboarding overlays editor; long marketing content in DOM","Feature sections and templates","Marketing and editor share root","Policy and social links","Tool purpose mixed with promotional showcase","Separate static promise from hydrated tool without gating it"
IT-Tools,"Tool routes have descriptive H1","Yes on individual route","Short description; directory cards","Many distinct utilities","Ordinary links","Directory scale is irrelevant to a single-purpose health-adjacent tool","Use direct named routes but not a giant taxonomy"
Cleanup.pictures,"Direct task H1","Yes","Use cases pricing FAQ","Use-case sections rather than many observed routes","Ordinary links","Multiple H1s and promotional claims weaken hierarchy","Answer and action first; supporting content later"
Ray,"Descriptive title; visible H1 not prominent in app","Yes","Very little static explanation","Root app","Few public links","Minimal shell offers weak search context","Retain more static context than a creative utility"
Squoosh,"Brand H1; task conveyed by action","Yes","Small Simple Secure sections","Root/editor","Privacy and source links","Sparse query-specific content","Pair tool-first UI with concise evidence and limitations"
Transform.tools,"Conversion route title is specific","Desktop tool is immediate","Little explanation","One route per transform","Directory links","Thin pages and huge near-duplicate route set would be doorway risk here","Consolidate queries with the same answer"
readme.so,"Landing H1 clear","No; separate Get Started gate","Very little landing content","Landing and editor","Ordinary CTA","Thin landing and client-heavy editor","Avoid a separate marketing gate"
Excalidraw,"Brand/canvas title","Yes","Contextual help rather than SEO copy","Root app plus external help","Open/help links","Canvas meaning is not self-contained HTML","Provide complete HTML equivalents around any visual framework"
Unscreen/Canva,"Exact feature H1","Upload follows hero and breadcrumbs","Extensive how-to FAQ related tools and testimonials","Many feature routes","Ordinary links","Marketing ecosystem and testimonials crowd the single task","Keep only direct answer and next-question links"
Carbon,"Title explains task","Yes","Minimal instructions and policy links","Root plus about/policy","Ordinary links","Little indexable depth","Keep the action first but publish evidence-led answer sections below"
TinyPNG,"Task title clear; marketing H1 begins below tool","Yes","Products comparisons testimonials FAQ","Product/tool routes","Ordinary links","Commercial modules dominate after upload and privacy is buried","Put privacy and independence at the decision moment"
